"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
5,4,10,35,"M","M",2025-10-17,"L1","D","BrickWood",28.52,14,5,2,2,NA,NA,NA,NA,NA,NA,NA
5,4,10,36,"M","M",2025-10-17,"L1","B","BrickConcrete",26.4,12,7,1,2,NA,NA,NA,NA,NA,NA,NA
5,4,10,37,"M","M",2025-10-17,"L1","B","BrickConcrete",26.6,13,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,4,10,38,"M","M",2025-10-17,"L1","B","BrickConcrete",24.32,8,5,1,1,NA,NA,NA,NA,NA,NA,NA
5,4,10,39,"M","M",2025-10-17,"L1","A","BrickWood",24.99,10,7,2,2,NA,NA,NA,NA,NA,NA,NA
5,4,10,40,"M","M",2025-10-17,"L1","A","BrickWood",27.17,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,1,"M","F",2025-10-17,"L1","D","BrickConcrete",28.66,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,2,"M","F",2025-10-17,"L1","B","BrickWood",27.42,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,3,"M","F",2025-10-17,"L1","C","BrickWood",28.54,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,4,"L","F",2025-10-17,"L1","B","BrickWood",30.81,20,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,5,"S","F",2025-10-17,"L1","B","BrickWood",20.21,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,6,"M","F",2025-10-17,"L1","A","BrickConcrete",23.21,8,6,1,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,7,"M","F",2025-10-17,"L1","D","BrickConcrete",25.55,11,7,2,1,NA,NA,NA,NA,NA,NA,NA
6,4,7,8,"S","F",2025-10-17,"L1","C","BrickWood",21.62,7,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,9,"M","F",2025-10-17,"L1","A","BrickConcrete",29.91,16,8,2,2,NA,NA,NA,NA,NA,NA,NA
6,4,7,10,"M","F",2025-10-17,"L1","E","TankWall",26.41,12,6,2,2,NA,NA,NA,NA,NA,NA,NA
