"tank","round","group_id","koura_id","size_class","sex","date","stage","location_code","reef_type","size_mm1","weight_g1","legs1","claws1","antenna1","size_mm2","weight_g2","legs2","claws2","antenna2","notes_exp","notes_koura"
1,3,5,65,"L","M",NA,"L0","B","WoodSplit",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,3,5,65,"L","M",NA,"L1","A","FlatStone",37.6,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA
1,3,5,66,"L","M",NA,"L0","A","FlatStone",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
1,3,5,66,"L","M",NA,"L1","A","FlatStone",31.24,21,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,67,"S","M",NA,"L0","B","FlatStone",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,67,"S","M",NA,"L1","E","TankWall",19.7,5,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,93,"S","M",NA,"L0","E","TankWall",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
2,3,6,93,"S","M",NA,"L1","A","WoodSplit",19.32,4,8,2,2,NA,NA,NA,NA,NA,NA,"Died 23/09/25 got pinched by other kōura when deploying"
2,3,6,69,"M","M",NA,"L0","B","FlatStone",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,69,"M","M",NA,"L1","A","WoodSplit",27.78,14,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,70,"M","M",NA,"L0","E","TankWall",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,70,"M","M",NA,"L1","B","FlatStone",26.13,12,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,71,"L","M",NA,"L0","B","FlatStone",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,71,"L","M",NA,"L1","B","FlatStone",39.14,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,72,"L","M",NA,"L0","B","FlatStone",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
2,3,6,72,"L","M",NA,"L1","B","FlatStone",32.46,19,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,3,1,37,"S","M",NA,"L0","B","WoodSplit",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,3,1,37,"S","M",NA,"L1","B","WoodSplit",17.82,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,3,1,73,"S","M",NA,"L0","B","WoodSplit",21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
3,3,1,73,"S","M",NA,"L1",NA,NA,21.15,6,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted, Lost last round of exp 3"
3,3,1,39,"M","M",NA,"L0","A","FlatStone",28.79,15,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
3,3,1,39,"M","M",NA,"L1","A","FlatStone",28.79,15,8,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
3,3,1,40,"M","M",NA,"L0","A","FlatStone",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
3,3,1,40,"M","M",NA,"L1","B","WoodSplit",25.88,11,6,2,2,NA,NA,NA,NA,NA,NA,NA
3,3,1,41,"L","M",NA,"L0","A","FlatStone",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,3,1,41,"L","M",NA,"L1","A","FlatStone",38.88,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
3,3,1,42,"L","M",NA,"L0","A","FlatStone",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
3,3,1,42,"L","M",NA,"L1","A","FlatStone",38.72,37,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,3,2,43,"S","M",NA,"L0","A","WoodSplit",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,3,2,43,"S","M",NA,"L1","A","WoodSplit",21.55,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,3,2,74,"S","M",NA,"L0","B","FlatStone",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
4,3,2,74,"S","M",NA,"L1","B","FlatStone",16.24,1,7,2,2,NA,NA,NA,NA,NA,NA,NA
4,3,2,45,"M","M",NA,"L0","B","FlatStone",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,3,2,45,"M","M",NA,"L1","A","WoodSplit",25.2,10,8,2,NA,NA,NA,NA,NA,NA,NA,NA
4,3,2,46,"M","M",NA,"L0","A","WoodSplit",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
4,3,2,46,"M","M",NA,"L1","B","FlatStone",29.49,16,7,2,2,NA,NA,NA,NA,NA,NA,NA
4,3,2,47,"L","M",NA,"L0","A","WoodSplit",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
4,3,2,47,"L","M",NA,"L1","B","FlatStone",41.25,42,8,2,NA,NA,NA,NA,NA,NA,NA,"soft"
4,3,2,48,"L","M",NA,"L0","B","FlatStone",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
4,3,2,48,"L","M",NA,"L1","A","WoodSplit",35.25,27,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,3,3,49,"S","M",NA,"L0","B","FlatStone",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
5,3,3,49,"S","M",NA,"L1","B","FlatStone",21.29,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA
5,3,3,79,"S","M",NA,"L0","A","WoodSplit",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
5,3,3,79,"S","M",NA,"L1","B","FlatStone",20.62,6,5,1,2,NA,NA,NA,NA,NA,NA,NA
5,3,3,51,"M","M",NA,"L0","B","FlatStone",25.56,12,7,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
5,3,3,51,"M","M",NA,"L1","B","FlatStone",25.56,12,7,2,2,NA,NA,NA,NA,NA,NA,"Moulted"
5,3,3,52,"M","M",NA,"L0","B","FlatStone",25.55,10,6,1,2,NA,NA,NA,NA,NA,NA,"Moulted"
5,3,3,52,"M","M",NA,"L1","B","FlatStone",25.55,10,6,1,2,NA,NA,NA,NA,NA,NA,"Moulted"
5,3,3,53,"L","M",NA,"L0","B","FlatStone",30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,3,3,53,"L","M",NA,"L1","B","FlatStone",30.72,20,8,2,NA,NA,NA,NA,NA,NA,NA,NA
5,3,3,54,"L","M",NA,"L0","A","WoodSplit",43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
5,3,3,54,"L","M",NA,"L1","B","FlatStone",43.34,57,8,2,2,NA,NA,NA,NA,NA,NA,NA
